Pe0	A	sigma	N	window_size	min_slope
500.0	3.25	0.0089	50	3	0.494722235540353
500.0	3.25	0.0089	100	4	0.3389046114387963
500.0	3.25	0.0089	200	5	0.4517796994399552
500.0	3.25	0.01	50	3	0.3905898610475531
500.0	3.25	0.01	100	5	0.40608087743611465
500.0	3.25	0.01	200	6	0.4456940643038955
500.0	5.5	0.0001	50	3	0.35930873883065134
500.0	5.5	0.0001	100	3	0.033770621831112166
500.0	5.5	0.0001	200	3	0.3588252678655182
500.0	5.5	0.0012000000000000001	50	3	0.3388032919789187
500.0	5.5	0.0012000000000000001	100	3	0.2596255148559628
500.0	5.5	0.0012000000000000001	200	3	0.31937384420201176
500.0	5.5	0.0023	50	3	0.2846906171062185
500.0	5.5	0.0023	100	3	0.3754152722405694
500.0	5.5	0.0023	200	4	0.3925964175106931
500.0	5.5	0.0034	50	3	0.4830707154500108
500.0	5.5	0.0034	100	3	0.3415477382101755
500.0	5.5	0.0034	200	4	0.307877672842184
500.0	5.5	0.0045000000000000005	50	3	0.35408096792349214
500.0	5.5	0.0045000000000000005	100	3	0.34149121042677816
500.0	5.5	0.0045000000000000005	200	5	0.32501724866603077
500.0	5.5	0.005600000000000001	50	3	0.26460447944486104
500.0	5.5	0.005600000000000001	100	3	0.44483932357952743
500.0	5.5	0.005600000000000001	200	5	0.32315036160744337
500.0	5.5	0.0067	50	3	0.4648013277490505
500.0	5.5	0.0067	100	3	0.488878301007882
500.0	5.5	0.0067	200	6	0.48356910578321155
500.0	5.5	0.0078000000000000005	50	3	0.3464142750474332
500.0	5.5	0.0078000000000000005	100	4	0.41176486019904146
500.0	5.5	0.0078000000000000005	200	5	0.3584039722931809
500.0	5.5	0.0089	50	3	0.15533447364032116
500.0	5.5	0.0089	100	5	0.46177598713706247
500.0	5.5	0.0089	200	5	0.3707493307910861
500.0	5.5	0.01	50	3	0.27648247441461393
500.0	5.5	0.01	100	4	0.36905651110240467
500.0	5.5	0.01	200	5	0.2558689389604151
500.0	7.75	0.0001	50	3	0.16601040199311046
500.0	7.75	0.0001	100	3	0.23343534682218764
500.0	7.75	0.0001	200	3	0.13516651666410076
500.0	7.75	0.0012000000000000001	50	4	0.38484352938114624
500.0	7.75	0.0012000000000000001	100	3	0.1641386755533125
500.0	7.75	0.0012000000000000001	200	3	0.1724095081216553
500.0	7.75	0.0023	50	3	0.28403666970844976
500.0	7.75	0.0023	100	3	0.40709185026310546
500.0	7.75	0.0023	200	4	0.2054524660834633
500.0	7.75	0.0034	50	3	0.2315107266144053
500.0	7.75	0.0034	100	5	0.33835834615638705
500.0	7.75	0.0034	200	5	0.3696607394422142
500.0	7.75	0.0045000000000000005	50	3	0.2699055186274641
500.0	7.75	0.0045000000000000005	100	3	0.21643299635730487
500.0	7.75	0.0045000000000000005	200	5	0.3590650045626999
500.0	7.75	0.005600000000000001	50	3	0.298942253852094
500.0	7.75	0.005600000000000001	100	4	0.40984730122387397
500.0	7.75	0.005600000000000001	200	4	0.266283985096114
500.0	7.75	0.0067	50	3	0.38426399470778183
500.0	7.75	0.0067	100	4	0.4427373098754561
500.0	7.75	0.0067	200	4	0.2768121399075264
500.0	7.75	0.0078000000000000005	50	3	0.4754158865175419
500.0	7.75	0.0078000000000000005	100	6	0.21787982063656178
500.0	7.75	0.0078000000000000005	200	7	0.27316181778102055
500.0	7.75	0.0089	50	3	0.317138826762068
500.0	7.75	0.0089	100	5	0.32786404049385753
500.0	7.75	0.0089	200	8	0.33784757322886255
500.0	7.75	0.01	50	3	0.3787626712973324
500.0	7.75	0.01	100	6	0.3339785217645549
500.0	7.75	0.01	200	7	0.41346104665354977
500.0	10.0	0.0001	50	3	0.22267433702564182
500.0	10.0	0.0001	100	3	0.10961639534187101
500.0	10.0	0.0001	200	3	0.23379763330666747
500.0	10.0	0.0012000000000000001	50	3	0.1910428954094729
500.0	10.0	0.0012000000000000001	100	3	0.10241307279329977
500.0	10.0	0.0012000000000000001	200	3	0.17923535875903557
500.0	10.0	0.0023	50	3	0.25362928107177907
500.0	10.0	0.0023	100	3	0.27609845476457356
500.0	10.0	0.0023	200	4	0.14439019096756459
500.0	10.0	0.0034	50	3	0.2803962033735612
500.0	10.0	0.0034	100	4	0.19187662937624023
500.0	10.0	0.0034	200	7	0.25868123687978684
500.0	10.0	0.0045000000000000005	50	3	0.21397391419049971
500.0	10.0	0.0045000000000000005	100	4	0.2838122497299465
500.0	10.0	0.0045000000000000005	200	9	0.19767833615535294
500.0	10.0	0.005600000000000001	50	3	0.17307059725668428
500.0	10.0	0.005600000000000001	100	4	0.21113829175789312
500.0	10.0	0.005600000000000001	200	6	0.3598717959881985
500.0	10.0	0.0067	50	3	0.3625770231538537
500.0	10.0	0.0067	100	4	0.266241299745857
500.0	10.0	0.0067	200	8	0.20853887247039443
500.0	10.0	0.0078000000000000005	50	3	0.4249226958556249
500.0	10.0	0.0078000000000000005	100	5	0.2330492224406286
500.0	10.0	0.0078000000000000005	200	6	0.11473073276143265
500.0	10.0	0.0089	50	3	0.3819142341548939
500.0	10.0	0.0089	100	4	0.1925391096567343
500.0	10.0	0.0089	200	8	0.24551390047288194
500.0	10.0	0.01	50	3	0.19087753259184106
500.0	10.0	0.01	100	5	0.29856664235216895
500.0	10.0	0.01	200	9	0.29022985541818774
1625.0	1.0	0.0001	50	3	0.12161960643165817
1625.0	1.0	0.0001	100	3	0.17316813630448444
1625.0	1.0	0.0001	200	3	0.14831145051779832
1625.0	1.0	0.0012000000000000001	50	3	0.06509716529947793
1625.0	1.0	0.0012000000000000001	100	5	0.21258781894768874
1625.0	1.0	0.0012000000000000001	200	3	0.13137436564649171
1625.0	1.0	0.0023	50	11	0.47603480412235266
1625.0	1.0	0.0023	100	5	0.2002013027387912
1625.0	1.0	0.0023	200	4	0.1244614077050499
1625.0	1.0	0.0034	50	20	0.37921560782366087
1625.0	1.0	0.0034	100	4	0.18799894175476867
1625.0	1.0	0.0034	200	10	0.19735464116283294
1625.0	1.0	0.0045000000000000005	50	7	0.4832956847619504
1625.0	1.0	0.0045000000000000005	100	4	0.195713515050253
1625.0	1.0	0.0045000000000000005	200	9	0.18092540732003465
1625.0	1.0	0.005600000000000001	50	4	0.17778106870200525
1625.0	1.0	0.005600000000000001	100	7	0.2044213019926678
1625.0	1.0	0.005600000000000001	200	9	0.18009437607230577
1625.0	1.0	0.0067	50	18	0.04095176332644586
1625.0	1.0	0.0067	100	7	0.2270250419303036
1625.0	1.0	0.0067	200	9	0.21832329265409608
1625.0	1.0	0.0078000000000000005	50	3	0.19536434127915547
1625.0	1.0	0.0078000000000000005	100	11	0.2940911622809437
1625.0	1.0	0.0078000000000000005	200	14	0.19881652582621395
1625.0	1.0	0.0089	50	11	0.06494439147186219
1625.0	1.0	0.0089	100	7	0.22898073060119373
1625.0	1.0	0.0089	200	10	0.2150227068424631
1625.0	1.0	0.01	50	4	0.21220950838287714
1625.0	1.0	0.01	100	7	0.1517459560687043
1625.0	1.0	0.01	200	12	0.23541277130426289
1625.0	3.25	0.0001	50	3	0.08618497109985293
1625.0	3.25	0.0001	100	3	0.4114053819242358
1625.0	3.25	0.0001	200	3	0.3965929302170469
1625.0	3.25	0.0012000000000000001	50	3	0.45310166592935575
1625.0	3.25	0.0012000000000000001	100	3	0.3429001001990761
1625.0	3.25	0.0012000000000000001	200	3	0.34581560654270216
1625.0	3.25	0.0023	50	3	0.4766115403109384
1625.0	3.25	0.0023	100	3	0.4276010744974503
1625.0	3.25	0.0023	200	3	0.31876834006833216
1625.0	3.25	0.0034	50	3	0.49861342218630483
1625.0	3.25	0.0034	100	3	0.40171305428341336
1625.0	3.25	0.0034	200	4	0.4841396056771128
1625.0	3.25	0.0045000000000000005	50	3	0.4525924217912101
1625.0	3.25	0.0045000000000000005	100	4	0.29450723868009854
1625.0	3.25	0.0045000000000000005	200	3	0.41637911104995484
1625.0	3.25	0.005600000000000001	50	3	0.4507774038888413
1625.0	3.25	0.005600000000000001	100	3	0.4595837844056293
1625.0	3.25	0.005600000000000001	200	6	0.4490417791433585
1625.0	3.25	0.0067	50	3	0.4026178550392511
1625.0	3.25	0.0067	100	3	0.35046974737609204
1625.0	3.25	0.0067	200	5	0.46080727945104205
1625.0	3.25	0.0078000000000000005	50	7	0.14058170181724752
1625.0	3.25	0.0078000000000000005	100	3	0.2947981469435834
1625.0	3.25	0.0078000000000000005	200	5	0.4643525502075929
1625.0	3.25	0.0089	50	3	0.48066968476267224
1625.0	3.25	0.0089	100	3	0.4985979537998544
1625.0	3.25	0.0089	200	6	0.41286301100020645
1625.0	3.25	0.01	50	3	0.27562104457955966
1625.0	3.25	0.01	100	3	0.402405771179898
1625.0	3.25	0.01	200	5	0.45973344506330754
1625.0	5.5	0.0001	50	15	0.012192068403842762
1625.0	5.5	0.0001	100	3	0.4906207168717962
1625.0	5.5	0.0001	200	3	0.4696660983286713
1625.0	5.5	0.0012000000000000001	50	3	0.2614573775768591
1625.0	5.5	0.0012000000000000001	100	3	0.2529230711055299
1625.0	5.5	0.0012000000000000001	200	3	0.4087145014905098
1625.0	5.5	0.0023	50	3	0.37948788168501446
1625.0	5.5	0.0023	100	3	0.4390707730137162
1625.0	5.5	0.0023	200	3	0.45226580631032076
1625.0	5.5	0.0034	50	3	0.20579582055643553
1625.0	5.5	0.0034	100	3	0.34339196119937293
1625.0	5.5	0.0034	200	3	0.4406255275323913
1625.0	5.5	0.0045000000000000005	50	3	0.16448272124998664
1625.0	5.5	0.0045000000000000005	100	3	0.4543820696541998
1625.0	5.5	0.0045000000000000005	200	3	0.39673475889564225
1625.0	5.5	0.005600000000000001	50	3	0.4429257297290247
1625.0	5.5	0.005600000000000001	100	3	0.3274351317742849
1625.0	5.5	0.005600000000000001	200	3	0.3689965768309776
1625.0	5.5	0.0067	50	3	0.48607366740015534
1625.0	5.5	0.0067	100	3	0.48834474907982434
1625.0	5.5	0.0067	200	5	0.4316968814896527
1625.0	5.5	0.0078000000000000005	50	3	0.3861887239285881
1625.0	5.5	0.0078000000000000005	100	3	0.3841816954803186
1625.0	5.5	0.0078000000000000005	200	6	0.41061667426781356
1625.0	5.5	0.0089	50	3	0.48201706467096334
1625.0	5.5	0.0089	100	3	0.3798259341646318
1625.0	5.5	0.0089	200	4	0.4275616460408683
1625.0	5.5	0.01	50	3	0.4876422050329373
1625.0	5.5	0.01	100	3	0.48231704350621435
1625.0	5.5	0.01	200	5	0.49964163331234873
1625.0	7.75	0.0001	50	3	0.45378416249481146
1625.0	7.75	0.0001	100	3	0.07357929245362556
1625.0	7.75	0.0001	200	3	0.4435922552983006
1625.0	7.75	0.0012000000000000001	50	3	0.3274837782124632
1625.0	7.75	0.0012000000000000001	100	3	0.1472575762660539
1625.0	7.75	0.0012000000000000001	200	3	0.4866478866333667
1625.0	7.75	0.0023	50	3	0.4827025979907334
1625.0	7.75	0.0023	100	3	0.49820606019111996
1625.0	7.75	0.0023	200	3	0.4334745951542211
1625.0	7.75	0.0034	50	3	0.3166971885752766
1625.0	7.75	0.0034	100	3	0.32606972242642074
1625.0	7.75	0.0034	200	3	0.3351427066538251
1625.0	7.75	0.0045000000000000005	50	8	0.15514574896396413
1625.0	7.75	0.0045000000000000005	100	3	0.4971693267960884
1625.0	7.75	0.0045000000000000005	200	3	0.483705425115014
1625.0	7.75	0.005600000000000001	50	4	0.2613164520962196
1625.0	7.75	0.005600000000000001	100	3	0.2831740290674132
1625.0	7.75	0.005600000000000001	200	4	0.38175321713796256
1625.0	7.75	0.0067	50	6	0.03420351099180957
1625.0	7.75	0.0067	100	3	0.47948168971907096
1625.0	7.75	0.0067	200	5	0.4265536155403859
1625.0	7.75	0.0078000000000000005	50	3	0.3186477094084976
1625.0	7.75	0.0078000000000000005	100	4	0.4084675691610875
1625.0	7.75	0.0078000000000000005	200	4	0.4606960371139343
1625.0	7.75	0.0089	50	3	0.33191130662327256
1625.0	7.75	0.0089	100	3	0.4931778010773493
1625.0	7.75	0.0089	200	7	0.49641936039665996
1625.0	7.75	0.01	50	10	0.49231014406530366
1625.0	7.75	0.01	100	3	0.4919290830000693
1625.0	7.75	0.01	200	5	0.4855359900008622
1625.0	10.0	0.0001	50	3	0.22904175950143213
1625.0	10.0	0.0001	100	3	0.2735776461037598
1625.0	10.0	0.0001	200	3	0.49640993436561137
1625.0	10.0	0.0012000000000000001	50	3	0.38889135767032434
1625.0	10.0	0.0012000000000000001	100	3	0.4879473628500491
1625.0	10.0	0.0012000000000000001	200	3	0.3604426951897164
1625.0	10.0	0.0023	50	3	0.4882745467188035
1625.0	10.0	0.0023	100	3	0.16738246753349234
1625.0	10.0	0.0023	200	3	0.34667424631729654
1625.0	10.0	0.0034	50	19	0.4745366801395975
1625.0	10.0	0.0034	100	3	0.4701576121589041
1625.0	10.0	0.0034	200	3	0.4189000730885055
1625.0	10.0	0.0045000000000000005	50	3	0.12356439324935047
1625.0	10.0	0.0045000000000000005	100	3	0.2851603294141824
1625.0	10.0	0.0045000000000000005	200	3	0.45850216216482176
1625.0	10.0	0.005600000000000001	50	9	0.07214340331393285
1625.0	10.0	0.005600000000000001	100	3	0.3591145711923221
1625.0	10.0	0.005600000000000001	200	3	0.4861066185621109
1625.0	10.0	0.0067	50	3	0.4141135103078161
1625.0	10.0	0.0067	100	3	0.4879885465386533
1625.0	10.0	0.0067	200	5	0.3803063846487792
1625.0	10.0	0.0078000000000000005	50	3	0.20648512066638094
1625.0	10.0	0.0078000000000000005	100	3	0.4700219360468085
1625.0	10.0	0.0078000000000000005	200	3	0.49717281885115927
1625.0	10.0	0.0089	50	3	0.44759547132727806
1625.0	10.0	0.0089	100	3	0.4548514599321896
1625.0	10.0	0.0089	200	5	0.4001543163879253
1625.0	10.0	0.01	50	3	0.4193508676852042
1625.0	10.0	0.01	100	3	0.4972589463557246
1625.0	10.0	0.01	200	6	0.4397207651511495
2750.0	1.0	0.0001	50	6	0.26020206342024904
2750.0	1.0	0.0001	100	3	0.12778244349726922
2750.0	1.0	0.0001	200	3	0.0672299161159431
2750.0	1.0	0.0012000000000000001	50	9	0.45027509254382203
2750.0	1.0	0.0012000000000000001	100	7	0.09394689158576816
2750.0	1.0	0.0012000000000000001	200	6	0.08647328146566702
2750.0	1.0	0.0023	50	3	0.11949610261786114
2750.0	1.0	0.0023	100	6	0.14697213240504714
2750.0	1.0	0.0023	200	7	0.11387232140319062
2750.0	1.0	0.0034	50	4	0.1998767588355729
2750.0	1.0	0.0034	100	9	0.12611134611864855
2750.0	1.0	0.0034	200	8	0.3492346663325854
2750.0	1.0	0.0045000000000000005	50	3	0.22199917040552586
2750.0	1.0	0.0045000000000000005	100	6	0.18519904344249077
2750.0	1.0	0.0045000000000000005	200	7	0.1229071876758411
2750.0	1.0	0.005600000000000001	50	4	0.1734985369424627
2750.0	1.0	0.005600000000000001	100	5	0.4316944951625973
2750.0	1.0	0.005600000000000001	200	9	0.08505154034135436
2750.0	1.0	0.0067	50	3	0.1959818991261162
2750.0	1.0	0.0067	100	6	0.13386849523529223
2750.0	1.0	0.0067	200	13	0.21476217741577786
2750.0	1.0	0.0078000000000000005	50	3	0.14716589717035058
2750.0	1.0	0.0078000000000000005	100	20	0.42434446224332795
2750.0	1.0	0.0078000000000000005	200	9	0.10898798616231767
2750.0	1.0	0.0089	50	5	0.2614716215715049
2750.0	1.0	0.0089	100	9	0.20549864164214507
2750.0	1.0	0.0089	200	15	0.1378006940519105
2750.0	1.0	0.01	50	5	0.28619294158413594
2750.0	1.0	0.01	100	8	0.19827970435053527
2750.0	1.0	0.01	200	15	0.14582038146798565
2750.0	3.25	0.0001	50	3	0.4056243247608093
2750.0	3.25	0.0001	100	3	0.30864828095439767
2750.0	3.25	0.0001	200	3	0.33962070486116713
2750.0	3.25	0.0012000000000000001	50	3	0.3655149836798691
2750.0	3.25	0.0012000000000000001	100	3	0.22371728203072913
2750.0	3.25	0.0012000000000000001	200	3	0.15485237781742722
2750.0	3.25	0.0023	50	3	0.32750081368448375
2750.0	3.25	0.0023	100	3	0.20565802647887457
2750.0	3.25	0.0023	200	4	0.31485455156812037
2750.0	3.25	0.0034	50	3	0.21628992583398307
2750.0	3.25	0.0034	100	3	0.2787083660393761
2750.0	3.25	0.0034	200	3	0.310015964374902
2750.0	3.25	0.0045000000000000005	50	3	0.30892379736665504
2750.0	3.25	0.0045000000000000005	100	3	0.2560926081514865
2750.0	3.25	0.0045000000000000005	200	5	0.27639972879017927
2750.0	3.25	0.005600000000000001	50	3	0.2921075871402177
2750.0	3.25	0.005600000000000001	100	3	0.2733175963645836
2750.0	3.25	0.005600000000000001	200	5	0.2373293468913552
2750.0	3.25	0.0067	50	10	0.34969309264118154
2750.0	3.25	0.0067	100	5	0.2527225613578074
2750.0	3.25	0.0067	200	7	0.313894152338659
2750.0	3.25	0.0078000000000000005	50	4	0.37902248049522375
2750.0	3.25	0.0078000000000000005	100	5	0.29201845395428355
2750.0	3.25	0.0078000000000000005	200	6	0.22154408701989564
2750.0	3.25	0.0089	50	4	0.29725426134518224
2750.0	3.25	0.0089	100	4	0.3922426728024967
2750.0	3.25	0.0089	200	7	0.35965327821434195
2750.0	3.25	0.01	50	3	0.35534030439546416
2750.0	3.25	0.01	100	5	0.31845376215417576
2750.0	3.25	0.01	200	5	0.2907192120866591
2750.0	5.5	0.0001	50	3	0.49908526585592694
2750.0	5.5	0.0001	100	3	0.4927943472285304
2750.0	5.5	0.0001	200	3	0.28890579492945617
2750.0	5.5	0.0012000000000000001	50	3	0.43887987065452744
2750.0	5.5	0.0012000000000000001	100	3	0.2020919901288043
2750.0	5.5	0.0012000000000000001	200	3	0.28743913641803914
2750.0	5.5	0.0023	50	11	0.12577364947068082
2750.0	5.5	0.0023	100	3	0.34704917650797396
2750.0	5.5	0.0023	200	3	0.3565940758931265
2750.0	5.5	0.0034	50	3	0.41960238738150657
2750.0	5.5	0.0034	100	3	0.3965033978029583
2750.0	5.5	0.0034	200	3	0.3328456961590076
2750.0	5.5	0.0045000000000000005	50	3	0.28324640712192506
2750.0	5.5	0.0045000000000000005	100	3	0.46784611475300625
2750.0	5.5	0.0045000000000000005	200	4	0.2647807737991705
2750.0	5.5	0.005600000000000001	50	3	0.3175434294029655
2750.0	5.5	0.005600000000000001	100	3	0.3579529175782079
2750.0	5.5	0.005600000000000001	200	3	0.39270970104316116
2750.0	5.5	0.0067	50	3	0.37700680725385205
2750.0	5.5	0.0067	100	3	0.408741808708654
2750.0	5.5	0.0067	200	5	0.4063098814422538
2750.0	5.5	0.0078000000000000005	50	3	0.2709636509873772
2750.0	5.5	0.0078000000000000005	100	3	0.3086822817434459
2750.0	5.5	0.0078000000000000005	200	4	0.3447122413827773
2750.0	5.5	0.0089	50	3	0.38655005989491054
2750.0	5.5	0.0089	100	4	0.29579283214662844
2750.0	5.5	0.0089	200	6	0.3984318159338013
2750.0	5.5	0.01	50	12	0.21804218836603925
2750.0	5.5	0.01	100	4	0.4054168518776045
2750.0	5.5	0.01	200	5	0.3427246934243005
2750.0	7.75	0.0001	50	3	0.08794785083188544
2750.0	7.75	0.0001	100	3	0.1894621314642573
2750.0	7.75	0.0001	200	3	0.3345348983308256
2750.0	7.75	0.0012000000000000001	50	3	0.15970114737140037
2750.0	7.75	0.0012000000000000001	100	3	0.3126671786375089
2750.0	7.75	0.0012000000000000001	200	3	0.4278262566430846
2750.0	7.75	0.0023	50	3	0.48297992281486557
2750.0	7.75	0.0023	100	3	0.4548913519363111
2750.0	7.75	0.0023	200	3	0.3304732794602351
2750.0	7.75	0.0034	50	3	0.408357074922714
2750.0	7.75	0.0034	100	3	0.4822398636080858
2750.0	7.75	0.0034	200	3	0.4973247270733523
2750.0	7.75	0.0045000000000000005	50	3	0.49493351420867054
2750.0	7.75	0.0045000000000000005	100	3	0.2896770714874916
2750.0	7.75	0.0045000000000000005	200	3	0.3427582565292058
2750.0	7.75	0.005600000000000001	50	3	0.34102832413071127
2750.0	7.75	0.005600000000000001	100	3	0.34559434317019755
2750.0	7.75	0.005600000000000001	200	3	0.40254343754732463
2750.0	7.75	0.0067	50	4	0.025905591081825358
2750.0	7.75	0.0067	100	5	0.1547041751637595
2750.0	7.75	0.0067	200	5	0.40597878085043015
2750.0	7.75	0.0078000000000000005	50	4	0.49185802011247504
2750.0	7.75	0.0078000000000000005	100	4	0.3862190296279272
2750.0	7.75	0.0078000000000000005	200	5	0.44209327225210415
2750.0	7.75	0.0089	50	3	0.4182792966302062
2750.0	7.75	0.0089	100	3	0.3731428169227775
2750.0	7.75	0.0089	200	4	0.44765157418384255
2750.0	7.75	0.01	50	3	0.4648576099867876
2750.0	7.75	0.01	100	3	0.4048287390126974
2750.0	7.75	0.01	200	3	0.4950529613335496
2750.0	10.0	0.0001	50	3	0.4083117874885682
2750.0	10.0	0.0001	100	3	0.11285966545214937
2750.0	10.0	0.0001	200	3	0.49798593440482275
2750.0	10.0	0.0012000000000000001	50	3	0.3610897752623049
2750.0	10.0	0.0012000000000000001	100	3	0.19776338778559077
2750.0	10.0	0.0012000000000000001	200	3	0.42081830607726417
2750.0	10.0	0.0023	50	19	0.4011384211821523
2750.0	10.0	0.0023	100	3	0.1667050029388894
2750.0	10.0	0.0023	200	3	0.4456384514873074
2750.0	10.0	0.0034	50	3	0.43108934756993794
2750.0	10.0	0.0034	100	3	0.37034895811644974
2750.0	10.0	0.0034	200	3	0.45393826518488
2750.0	10.0	0.0045000000000000005	50	3	0.2930422514410859
2750.0	10.0	0.0045000000000000005	100	3	0.3504475850540001
2750.0	10.0	0.0045000000000000005	200	3	0.3894159691683523
2750.0	10.0	0.005600000000000001	50	15	0.24781331097591022
2750.0	10.0	0.005600000000000001	100	3	0.3186300746706753
2750.0	10.0	0.005600000000000001	200	3	0.45861983550791263
2750.0	10.0	0.0067	50	3	0.28580592902464397
2750.0	10.0	0.0067	100	3	0.41650144335967143
2750.0	10.0	0.0067	200	3	0.4504761472326281
2750.0	10.0	0.0078000000000000005	50	3	0.4792114265708173
2750.0	10.0	0.0078000000000000005	100	3	0.4988438616843122
2750.0	10.0	0.0078000000000000005	200	5	0.4354439674210451
2750.0	10.0	0.0089	50	3	0.4528937936766014
2750.0	10.0	0.0089	100	4	0.4430797927013702
2750.0	10.0	0.0089	200	3	0.4268216258967634
2750.0	10.0	0.01	50	3	0.46334545330899596
2750.0	10.0	0.01	100	3	0.16097305474690918
2750.0	10.0	0.01	200	5	0.45649715734704155
3875.0	1.0	0.0001	50	21	0.3226565330468603
3875.0	1.0	0.0001	100	3	0.3640666662511441
3875.0	1.0	0.0001	200	4	0.35086748981891536
3875.0	1.0	0.0012000000000000001	50	15	0.298395782359776
3875.0	1.0	0.0012000000000000001	100	20	0.4576648565995686
3875.0	1.0	0.0012000000000000001	200	9	0.05246987271937694
3875.0	1.0	0.0023	50	5	0.34362380926562835
3875.0	1.0	0.0023	100	5	0.09924275334681742
3875.0	1.0	0.0023	200	7	0.0728162011089493
3875.0	1.0	0.0034	50	15	0.03683799193958039
3875.0	1.0	0.0034	100	5	0.2472380727567487
3875.0	1.0	0.0034	200	14	0.09251822664780263
3875.0	1.0	0.0045000000000000005	50	3	0.16590201582926667
3875.0	1.0	0.0045000000000000005	100	7	0.1962336815677337
3875.0	1.0	0.0045000000000000005	200	10	0.11440650084253443
3875.0	1.0	0.005600000000000001	50	3	0.38604557115690313
3875.0	1.0	0.005600000000000001	100	6	0.15715196554877872
3875.0	1.0	0.005600000000000001	200	8	0.2716429490476338
3875.0	1.0	0.0067	50	5	0.03206087564409344
3875.0	1.0	0.0067	100	4	0.30887807758606645
3875.0	1.0	0.0067	200	12	0.09669143187154612
3875.0	1.0	0.0078000000000000005	50	20	0.09909320537166456
3875.0	1.0	0.0078000000000000005	100	8	0.16385238674123387
3875.0	1.0	0.0078000000000000005	200	6	0.2307009076826223
3875.0	1.0	0.0089	50	15	0.18426619981687747
3875.0	1.0	0.0089	100	5	0.34177867220404734
3875.0	1.0	0.0089	200	12	0.05183468994621387
3875.0	1.0	0.01	50	3	0.10804411163339761
3875.0	1.0	0.01	100	8	0.28469946367001725
3875.0	1.0	0.01	200	9	0.22885946096620544
3875.0	3.25	0.0001	50	3	0.2840079646702231
3875.0	3.25	0.0001	100	3	0.12237726533406759
3875.0	3.25	0.0001	200	3	0.14574382943417194
3875.0	3.25	0.0012000000000000001	50	3	0.23783451275088344
3875.0	3.25	0.0012000000000000001	100	3	0.21417321941440542
3875.0	3.25	0.0012000000000000001	200	3	0.24120434856978634
3875.0	3.25	0.0023	50	17	0.2727956505560451
3875.0	3.25	0.0023	100	3	0.15350643121696894
3875.0	3.25	0.0023	200	5	0.1877528172082374
3875.0	3.25	0.0034	50	3	0.23806300828491617
